sort benchmark BATCHSIZE 10000 NUM_MULTI_BITS 3 complete after 82.93954s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/sort33/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort33/multi_apply_inv33/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort33/multi_apply_inv33/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort33/multi_apply_inv33/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort33/multi_apply_inv34/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort33/multi_apply_inv34/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort33/multi_apply_inv34/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort33/multi_apply_inv35/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort33/multi_apply_inv35/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort33/multi_apply_inv35/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort33/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort33/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort33/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort33/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort36/bit_permute,30000,0,0
protocol/run-0/sort36/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort36/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort36/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort36/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort36/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort36/multi_apply_inv36/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort36/multi_apply_inv36/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort36/multi_apply_inv36/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort36/multi_apply_inv37/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort36/multi_apply_inv37/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort36/multi_apply_inv37/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort36/multi_apply_inv38/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort36/multi_apply_inv38/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort36/multi_apply_inv38/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort36/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort36/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort36/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort36/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort39/bit_permute,30000,0,0
protocol/run-0/sort39/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort39/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort39/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort39/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort39/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort39/multi_apply_inv39/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort39/multi_apply_inv39/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort39/multi_apply_inv39/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort39/multi_apply_inv40/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort39/multi_apply_inv40/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort39/multi_apply_inv40/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort39/multi_apply_inv41/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort39/multi_apply_inv41/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort39/multi_apply_inv41/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort39/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort39/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort39/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort39/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort42/bit_permute,30000,0,0
protocol/run-0/sort42/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort42/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort42/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort42/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort42/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort42/multi_apply_inv42/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort42/multi_apply_inv42/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort42/multi_apply_inv42/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort42/multi_apply_inv43/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort42/multi_apply_inv43/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort42/multi_apply_inv43/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort42/multi_apply_inv44/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort42/multi_apply_inv44/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort42/multi_apply_inv44/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort42/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort42/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort42/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort42/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort45/bit_permute,30000,0,0
protocol/run-0/sort45/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort45/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort45/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort45/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort45/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort45/multi_apply_inv45/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort45/multi_apply_inv45/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort45/multi_apply_inv45/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort45/multi_apply_inv46/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort45/multi_apply_inv46/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort45/multi_apply_inv46/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort45/multi_apply_inv47/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort45/multi_apply_inv47/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort45/multi_apply_inv47/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort45/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort45/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort45/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort45/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort48/bit_permute,30000,0,0
protocol/run-0/sort48/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort48/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort48/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort48/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort48/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort48/multi_apply_inv48/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort48/multi_apply_inv48/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort48/multi_apply_inv48/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort48/multi_apply_inv49/shuffle_inputs/shuffle1,20000,0,0
